region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat,income_per_year_employed,age_category,income_age_ratio
2,-1.0551249950656614,0.18450455890496673,1,9,-0.12650640601433927,4,-0.5941225969906069,0.0,0,2,1,0.026886083167521377,2,-0.1616504307464347
3,-1.1488056303374061,-0.6918124307127499,1,7,0.5464497249817767,5,-0.5941225969906069,0.0,0,6,4,0.9026830650441489,2,1.2583130449616344
3,1.5210924749073196,0.8218260058996697,1,24,0.3595174663717445,1,1.7875280340056454,0.0,1,2,3,-0.46939887322923407,3,0.2516780984587988
2,-0.11831864234821379,-0.6918124307127499,0,12,-0.4162514068598892,2,-1.0902998117814928,0.0,1,1,1,1.656841577215689,2,-0.40368965956031017
2,-0.5867218187069376,-0.9308079733357635,1,9,-0.444291245651394,1,-0.8918289258651384,0.0,0,4,3,-0.021769304714513434,2,-0.40368965956031017
2,0.25640389873876523,-0.21382134546672266,0,17,0.0043461750126832805,2,0.4974672755493422,0.0,1,1,3,-0.4167365710510317,2,0.12879664383021583
3,0.44376516928225473,-1.5681294203304665,1,2,-0.5471039878869117,2,-0.693358039948784,0.0,1,5,2,-0.4742644120174376,2,-0.4763014282044728
2,0.11588294583114811,-0.5324820689640741,0,5,-0.01434705084831994,2,-0.09794538219972089,0.0,0,3,4,-0.24735337580394776,2,0.2200800101257345
3,0.44376516928225473,1.3794822720200348,1,7,0.826848112896825,4,1.9859989199219998,0.0,0,5,3,-0.37300038598795254,3,0.5620058398089489
1,1.5210924749073196,-0.054490983718046906,1,21,-0.051733502570326384,1,1.0928799332984054,0.0,0,3,2,-0.5231313450641769,2,-0.001078064313814893
2,-1.4298475361526404,-0.6918124307127499,0,10,0.44363698274625896,4,-0.5941225969906069,0.0,1,1,1,0.7688807483685528,2,1.080817610498126
3,-1.3361669008808956,-0.5324820689640741,0,14,0.023039400873686503,2,0.39823183259116507,0.0,1,1,3,-0.3866847138297748,2,0.28093558765608034
1,0.25640389873876523,-0.29348652634106054,1,8,-0.37886495513788276,2,-0.1971808251578981,0.0,1,3,1,-0.4815627201997428,2,-0.41770245701795555
2,1.0058489809127233,0.9811563676483455,1,30,0.3501708534412429,4,1.1921153762565826,0.0,1,3,4,-0.4018895225429107,3,0.1978226461215804
2,-1.2424862656091509,0.34383492065364246,0,3,-0.4910243103039021,1,-0.2964162681160753,0.0,1,2,1,-0.5488693401032243,2,-0.6467812328472895
1,-0.3056799128917033,-0.29348652634106054,1,12,-0.02369366377882155,5,-0.9910643688233156,0.0,0,4,2,1.9852654454194243,2,0.11478384637257037
3,1.1463699338203404,1.2201519102713592,0,38,0.7894616611748185,2,1.8867634769638226,0.0,0,1,3,-0.37020466309553723,3,0.5772061624748693
3,-0.0714783247123414,0.5031652824023182,0,3,-0.26670559997186344,2,-0.49488715403242967,0.0,1,3,3,-0.24071855018367028,2,-0.3925961949063409
2,-1.6172088066961299,-1.4087990585817909,0,3,-0.5377573749564101,1,-0.7925934829069612,0.0,0,1,1,-0.3866847138297748,2,-0.4924373767920645
1,-0.44620086579932045,-1.0104731542101013,1,3,-0.00500043791781833,4,-0.8918289258651384,0.0,0,4,4,1.1216323105133057,2,0.4776669805343537
3,-1.383007218516768,-0.9308079733357635,0,7,-0.5751438266784166,3,-0.9910643688233156,0.0,1,1,2,-0.167735468360618,2,-0.6521832678092223
1,1.5210924749073196,0.8218260058996697,1,17,0.3969039180937509,1,1.2913508192147598,0.0,0,2,1,-0.4012813301943853,3,0.292638583334993
3,0.8184877103692338,-0.6918124307127499,0,10,0.21931827241422033,5,-0.693358039948784,0.0,1,2,4,0.7226581298806197,2,0.6935548443959252
3,0.9121683456409786,0.5031652824023182,1,19,-0.09846656722283444,1,1.390586262172937,0.0,0,3,1,-0.5635283351702477,2,-0.19291383113489366
3,-1.008284677429789,0.10483937803062884,1,18,-0.38821156806838436,1,-0.5941225969906069,0.0,0,5,3,-0.3137016320067226,2,-0.490373476391326
2,-1.6172088066961299,-1.6477946012048044,0,0,-0.4162514068598892,2,-1.0902998117814928,0.0,1,3,3,1.656841577215689,1,-0.09941177190858104
2,0.3032442163746376,-0.13415616459238477,0,7,-0.37886495513788276,2,-0.2964162681160753,0.0,1,1,4,-0.45155856433915464,2,-0.4436261323145996
3,-0.4930411834351928,-0.6918124307127499,1,11,-0.4349446327208924,1,-0.5941225969906069,0.0,0,4,3,-0.3745208668592661,2,-0.4359615567354935
1,-1.2424862656091509,-1.6477946012048044,1,1,-0.5657972137479149,2,-0.8918289258651384,0.0,1,3,1,-0.33802932594773993,1,-0.5051156221108866
2,-1.0551249950656614,-0.6918124307127499,1,9,-0.5471039878869117,4,-1.0902998117814928,0.0,1,2,2,0.6350784316929571,2,-0.6295929397865938
1,0.959008663276851,-0.3731517072153984,1,6,-0.38821156806838436,1,0.19976094667481067,0.0,1,2,2,-0.5639293411143304,2,-0.4180811812735676
1,1.6616134278149366,0.9014911867740076,1,27,0.7240353706613073,5,0.10052550371663348,0.0,0,2,4,0.11858277571443328,3,0.6210953016818342
1,-0.02463800707646903,0.6624956441509939,1,26,0.5838361767037832,2,0.9936444903402282,0.0,1,4,3,-0.28716232952561266,2,0.5547856865426366
1,-1.1488056303374061,-1.1698035159587772,1,8,-0.21062592238885375,5,-1.0902998117814928,0.0,0,3,2,3.2624693773228395,2,0.1485183587706058
2,1.1463699338203404,0.34383492065364246,1,13,0.7988082741053202,3,1.2913508192147598,0.0,0,2,4,-0.2757504294587354,2,0.9506776773242887
