region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat,income_per_year_employed,age_category,income_age_ratio
2,13,44,1,9,64.0,4,5,0.0,0,2,1,10.666666666666666,2,1.4545454545454546
3,11,33,1,7,136.0,5,5,0.0,0,6,4,22.666666666666668,2,4.121212121212121
3,68,52,1,24,116.0,1,29,0.0,1,2,3,3.8666666666666667,3,2.230769230769231
2,33,33,0,12,33.0,2,0,0.0,1,1,1,33.0,2,1.0
2,23,30,1,9,30.0,1,2,0.0,0,4,3,10.0,2,1.0
2,41,39,0,17,78.0,2,16,0.0,1,1,3,4.588235294117647,2,2.0
3,45,22,1,2,19.0,2,4,0.0,1,5,2,3.8,2,0.8636363636363636
2,38,35,0,5,76.0,2,10,0.0,0,3,4,6.909090909090909,2,2.1714285714285713
3,45,59,1,7,166.0,4,31,0.0,0,5,3,5.1875,3,2.8135593220338984
1,68,41,1,21,72.0,1,22,0.0,0,3,2,3.130434782608696,2,1.7560975609756098
2,5,33,0,10,125.0,4,5,0.0,1,1,1,20.833333333333332,2,3.787878787878788
3,7,35,0,14,80.0,2,15,0.0,1,1,3,5.0,2,2.2857142857142856
1,41,38,1,8,37.0,2,9,0.0,1,3,1,3.7,2,0.9736842105263158
2,57,54,1,30,115.0,4,23,0.0,1,3,4,4.791666666666667,3,2.1296296296296298
2,9,46,0,3,25.0,1,8,0.0,1,2,1,2.7777777777777777,2,0.5434782608695652
1,29,38,1,12,75.0,5,1,0.0,0,4,2,37.5,2,1.9736842105263157
3,60,57,0,38,162.0,2,30,0.0,0,1,3,5.225806451612903,3,2.8421052631578947
3,34,48,0,3,49.0,2,6,0.0,1,3,3,7.0,2,1.0208333333333333
2,1,24,0,3,20.0,1,3,0.0,0,1,1,5.0,2,0.8333333333333334
1,26,29,1,3,77.0,4,2,0.0,0,4,4,25.666666666666668,2,2.6551724137931036
3,6,30,0,7,16.0,3,1,0.0,1,1,2,8.0,2,0.5333333333333333
1,68,52,1,17,120.0,1,24,0.0,0,2,1,4.8,3,2.3076923076923075
3,53,33,0,10,101.0,5,4,0.0,1,2,4,20.2,2,3.0606060606060606
3,55,48,1,19,67.0,1,25,0.0,0,3,1,2.576923076923077,2,1.3958333333333333
3,14,43,1,18,36.0,1,5,0.0,0,5,3,6.0,2,0.8372093023255814
2,1,21,0,0,33.0,2,0,0.0,1,3,3,33.0,1,1.5714285714285714
2,42,40,0,7,37.0,2,8,0.0,1,1,4,4.111111111111111,2,0.925
3,25,33,1,11,31.0,1,5,0.0,0,4,3,5.166666666666667,2,0.9393939393939394
1,9,21,1,1,17.0,2,2,0.0,1,3,1,5.666666666666667,1,0.8095238095238095
2,13,33,1,9,19.0,4,0,0.0,1,2,2,19.0,2,0.5757575757575758
1,56,37,1,6,36.0,1,13,0.0,1,2,2,2.5714285714285716,2,0.972972972972973
1,71,53,1,27,155.0,5,12,0.0,0,2,4,11.923076923076923,3,2.9245283018867925
1,35,50,1,26,140.0,2,21,0.0,1,4,3,6.363636363636363,2,2.8
1,11,27,1,8,55.0,5,0,0.0,0,3,2,55.0,2,2.037037037037037
2,60,46,1,13,163.0,3,24,0.0,0,2,4,6.52,2,3.5434782608695654
3,20,35,1,11,52.0,4,0,0.0,0,2,2,52.0,2,1.4857142857142858
2,54,60,0,38,211.0,4,25,0.0,0,1,4,8.115384615384615,3,3.5166666666666666
1,44,57,1,1,186.0,2,17,0.0,0,2,3,10.333333333333334,3,3.263157894736842
1,11,41,1,0,39.0,1,1,0.0,1,2,3,19.5,2,0.9512195121951219
2,72,57,0,34,22.0,2,35,1.0,1,1,3,0.6111111111111112,3,0.38596491228070173
3,10,41,0,7,30.0,1,7,0.0,0,1,3,3.75,2,0.7317073170731707
2,15,28,0,0,29.0,2,4,0.0,1,1,3,5.8,2,1.0357142857142858
2,27,28,1,4,23.0,2,8,0.0,0,5,1,2.5555555555555554,2,0.8214285714285714
1,9,36,1,14,62.0,4,10,0.0,0,6,4,5.636363636363637,2,1.7222222222222223
1,64,43,1,20,76.0,4,20,0.0,1,4,3,3.619047619047619,2,1.7674418604651163
1,65,41,1,3,74.0,4,16,0.0,0,2,2,4.352941176470588,2,1.8048780487804879
1,49,51,1,27,63.0,4,19,0.0,0,5,2,3.15,3,1.2352941176470589
