iter	Passed	Remaining
0	8	798
1	16	821
2	26	862
3	37	910
4	49	946
5	63	998
6	74	991
7	87	1009
8	97	986
9	103	932
10	113	915
11	122	897
12	125	840
13	133	821
14	144	818
15	151	794
16	159	779
17	165	753
18	174	741
19	183	735
20	192	724
21	199	705
22	205	687
23	214	678
24	224	674
25	236	673
26	243	657
27	251	646
28	258	633
29	266	622
30	274	610
31	279	594
32	285	579
33	292	567
34	296	550
35	303	539
36	309	526
37	314	513
38	320	501
39	326	489
40	332	478
41	337	465
42	342	453
43	347	442
44	355	434
45	359	422
46	369	416
47	375	406
48	379	395
49	384	384
50	387	372
51	393	362
52	397	352
53	401	342
54	408	334
55	413	325
56	417	315
57	421	305
58	425	295
59	429	286
60	433	277
61	437	268
62	442	259
63	446	250
64	450	242
65	454	234
66	458	225
67	462	217
68	466	209
69	470	201
70	475	194
71	478	186
72	483	178
73	486	170
74	490	163
75	493	155
76	497	148
77	500	141
78	503	133
79	506	126
80	509	119
81	513	112
82	516	105
83	519	98
84	523	92
85	526	85
86	530	79
87	533	72
88	537	66
89	540	60
90	543	53
91	547	47
92	550	41
93	554	35
94	557	29
95	561	23
96	564	17
97	568	11
98	571	5
99	574	0
	6
99	619	0
